permalink,list_price,list_date,description.sold_date,location.address.postal_code,location.county.name,location.address.city,location.address.state,description.sqft,description.lot_sqft
100-Poplar-Green-Ln_Harvest_AL_35749_M75042-51006,,,2023-07-17,35749,Madison,Harvest,Alabama,1280.0,16854
1130-Pine-Grove-Rd_Harvest_AL_35749_M77135-88327,,,2023-07-17,35749,Madison,Harvest,Alabama,4448.0,265280
113-Vasser-Cir_Harvest_AL_35749_M77088-92818,,,2023-07-14,35749,Madison,Harvest,Alabama,1458.0,17516
195-Smith-Vasser-Rd_Harvest_AL_35749_M77012-90566,,,2023-07-14,35749,Madison,Harvest,Alabama,1856.0,131551
104-Loneoak-Dr_Harvest_AL_35749_M73993-50527,,,2023-07-14,35749,Madison,Harvest,Alabama,1454.0,20940
29715-Westfield-Dr_Harvest_AL_35749_M72327-87293,275000.0,2023-05-05T19:02:45Z,2023-07-13,35749,Limestone,Harvest,Alabama,2214.0,8276
229-Poplar-Hollow-Dr_Harvest_AL_35749_M99047-08380,,,2023-07-11,35749,Madison,Harvest,Alabama,,566280
366-Smith-Vasser-Rd_Harvest_AL_35749_M77027-43937,,,2023-07-11,35749,Madison,Harvest,Alabama,2603.0,18731
213-Farmington-Dr_Harvest_AL_35749_M78400-54414,,,2023-07-11,35749,Madison,Harvest,Alabama,1731.0,5199
155-Smith-Vasser-Rd_Harvest_AL_35749_M77009-17906,,,2023-07-10,35749,Madison,Harvest,Alabama,,182952
328-Willow-Oak-Dr_Harvest_AL_35749_M83469-75847,,,2023-07-07,35749,Madison,Harvest,Alabama,1238.0,17866
307-Fenrose-Dr_Harvest_AL_35749_M95091-93588,,,2023-07-06,35749,Madison,Harvest,Alabama,3196.0,8357
209-Sara-Sista-Cir_Harvest_AL_35749_M83677-77426,,,2023-07-06,35749,Madison,Harvest,Alabama,2262.0,23357
211-Thunderbird-Dr_Harvest_AL_35749_M74154-46265,,,2023-07-06,35749,Madison,Harvest,Alabama,1889.0,28175
172-McClure-St_Harvest_AL_35749_M70521-40592,,,2023-07-03,35749,Madison,Harvest,Alabama,1392.0,85813
30040-Abbeywood-Ln_Harvest_AL_35749_M83383-96882,,,2023-07-03,35749,Madison,Harvest,Alabama,1577.0,9849
172-McClure-St_Harvest_AL_35749_M70522-52389,,,2023-07-03,35749,Madison,Harvest,Alabama,,83635
17343-Fieldway-Cir_Harvest_AL_35749_M82313-56072,,,2023-06-26,35749,Limestone,Harvest,Alabama,1914.0,11326
29912-Montana-View-Dr_Harvest_AL_35749_M89227-25669,,,2023-06-23,35749,Limestone,Harvest,Alabama,2524.0,17424
17475-Fieldway-Cir_Harvest_AL_35749_M99309-36358,,,2023-06-21,35749,Limestone,Harvest,Alabama,1398.0,15246
14533-Lipscomb-Rd_Harvest_AL_35749_M89872-71046,,,2023-06-20,35749,Limestone,Harvest,Alabama,1392.0,19590
102-Brookville-Dr_Harvest_AL_35749_M78477-82986,249900.0,2023-05-15T19:20:11Z,2023-06-20,35749,Madison,Harvest,Alabama,1962.0,10454
17357-Fieldway-Cir_Harvest_AL_35749_M76267-74637,,,2023-06-16,35749,Limestone,Harvest,Alabama,1418.0,13068
16860-Wellhouse-Dr_Harvest_AL_35749_M72166-13874,249900.0,2023-01-05T22:07:24Z,2023-05-25,35749,Limestone,Harvest,Alabama,2336.0,5663
225-Stovall-Rd_Harvest_AL_35749_M83789-57209,,,2023-05-05,35749,Madison,Harvest,Alabama,2331.0,740520
217-Countrywood-Ct_Harvest_AL_35749_M73971-89102,,,2023-05-05,35749,Madison,Harvest,Alabama,1231.0,19820
121-Centennial-Dr_Harvest_AL_35749_M74666-49670,,,2023-05-05,35749,Madison,Harvest,Alabama,2739.0,20281
5040-Old-Railroad-Bed-Rd_Harvest_AL_35749_M86303-11863,,,2023-05-05,35749,Madison,Harvest,Alabama,1743.0,25700
225-Kelly-Ridge-Blvd_Harvest_AL_35749_M78854-44332,,,2023-05-05,35749,Madison,Harvest,Alabama,3634.0,25502
3613-Old-Railroad-Bed-Rd_Harvest_AL_35749_M83969-93925,,,2023-05-05,35749,Madison,Harvest,Alabama,572.0,43560
106-Cherita-Ln_Harvest_AL_35749_M78896-55384,,,2023-05-03,35749,Madison,Harvest,Alabama,2453.0,38928
1505-Nick-Davis-Rd_Harvest_AL_35749_M76897-75389,,,2023-05-02,35749,Madison,Harvest,Alabama,1303.0,28314
175-Brooklawn-Dr_Harvest_AL_35749_M74553-44516,,,2023-05-02,35749,Madison,Harvest,Alabama,2328.0,6183
108-Stonebend-Cir_Harvest_AL_35749_M76717-75939,,,2023-05-01,35749,Madison,Harvest,Alabama,3006.0,22259
110-Appleberry-Ln_Harvest_AL_35749_M73846-27331,,,2023-05-01,35749,Madison,Harvest,Alabama,2014.0,12353
134-Wethersfield-Dr_Harvest_AL_35749_M78413-95988,,,2023-04-28,35749,Madison,Harvest,Alabama,1848.0,5558
118-Trailing-Vine_Harvest_AL_35749_M77239-10993,,,2023-04-28,35749,Madison,Harvest,Alabama,3275.0,15129
213-Glen-Meadow-Ln_Harvest_AL_35749_M78304-02535,,,2023-04-27,35749,Madison,Harvest,Alabama,1815.0,19313
111-Amelia-Dr_Harvest_AL_35749_M77478-77823,,,2023-04-27,35749,Madison,Harvest,Alabama,3192.0,11821
121-Willow-Green-Dr_Harvest_AL_35749_M82542-84076,,,2023-04-25,35749,Madison,Harvest,Alabama,1311.0,19139
108-Amberwood-Dr_Harvest_AL_35749_M71066-60666,,,2023-04-25,35749,Madison,Harvest,Alabama,1792.0,20132
105-Brier-Rose-Ln_Harvest_AL_35749_M73874-96808,,,2023-04-24,35749,Madison,Harvest,Alabama,2040.0,11999
101-Alderwood-Dr_Madison_AL_35758_M75109-62850,335000.0,2023-07-19T20:15:14Z,2023-08-21,35758,Madison,Madison,Alabama,1938.0,14375.0
102-Bruce-Dr_Madison_AL_35758_M97163-09717,599850.0,2023-02-01T17:10:32Z,2023-07-28,35758,Madison,Madison,Alabama,4024.0,11282.0
336-Mercury-Dr_Madison_AL_35758_M96778-61774,81900.0,2023-06-01T16:24:11Z,2023-07-19,35758,Madison,Madison,Alabama,1200.0,
122-Fox-Hollow-Dr_Madison_AL_35758_M70515-47485,,,2023-07-17,35758,Madison,Madison,Alabama,3329.0,18343.0
113-Bambi-Ln_Madison_AL_35758_M80981-24215,,,2023-07-17,35758,Madison,Madison,Alabama,1952.0,9257.0
110-Sturdivant-St_Madison_AL_35758_M72030-33542,,,2023-07-17,35758,Madison,Madison,Alabama,2875.0,43124.0
709-Anderson-Cir_Madison_AL_35758_M88727-82734,,,2023-07-17,35758,Madison,Madison,Alabama,1619.0,27825.0
707-Anderson-Cir_Madison_AL_35758_M88725-59138,,,2023-07-17,35758,Madison,Madison,Alabama,3480.0,25526.0
1079-Balch-Rd_Madison_AL_35758_M75744-91682,,,2023-07-17,35758,Madison,Madison,Alabama,14919.0,128502.0
104-Westchester-Dr_Madison_AL_35758_M75788-51797,,,2023-07-14,35758,Madison,Madison,Alabama,6840.0,58370.0
222-Gemini-Dr_Madison_AL_35758_M94326-89635,69900.0,2023-06-01T20:26:27Z,2023-07-14,35758,Madison,Madison,Alabama,1056.0,
679-Crestview-Dr_Madison_AL_35758_M89270-41946,,,2023-07-14,35758,Madison,Madison,Alabama,1687.0,16721.0
318-Harvestwood-Ct_Madison_AL_35758_M75061-91984,,,2023-07-12,35758,Madison,Madison,Alabama,1282.0,8556.0
111-Pine-Valley-Cir_Madison_AL_35758_M70557-21271,,,2023-07-11,35758,Madison,Madison,Alabama,2762.0,18445.0
199-Ashley-Way_Madison_AL_35758_M87748-10571,,,2023-07-10,35758,Madison,Madison,Alabama,2888.0,19989.0
138-Stone-Meadow-Ln_Madison_AL_35758_M88314-17537,,,2023-07-10,35758,Madison,Madison,Alabama,1440.0,24.0
506-Carter-Dr_Madison_AL_35758_M88800-12326,,,2023-07-07,35758,Madison,Madison,Alabama,2343.0,15000.0
107-Oak-Shade-Dr_Madison_AL_35758_M88930-18140,,,2023-07-07,35758,Madison,Madison,Alabama,2096.0,11303.0
133-Southwood-Dr_Madison_AL_35758_M75126-38992,,,2023-07-07,35758,Madison,Madison,Alabama,4097.0,23145.0
100-Mill-Crest-Dr_Madison_AL_35758_M74267-55668,,,2023-07-07,35758,Madison,Madison,Alabama,3754.0,13596.0
106-Thoroughbred-Trl_Madison_AL_35758_M85846-42466,,,2023-07-07,35758,Madison,Madison,Alabama,3747.0,33404.0
213-Horseshoe-Bnd-N_Madison_AL_35758_M88219-14722,,,2023-07-07,35758,Madison,Madison,Alabama,2052.0,12752.0
201-Postwood-Ct_Madison_AL_35758_M83670-09363,,,2023-07-06,35758,Madison,Madison,Alabama,1651.0,10487.0
364-Yancy-Rd_Madison_AL_35758_M84059-15007,,,2023-07-06,35758,Madison,Madison,Alabama,2416.0,21658.0
126-Morning-Vista-Dr_Madison_AL_35758_M87247-25144,,,2023-07-06,35758,Madison,Madison,Alabama,3659.0,11703.0
128-Canterbury-Dr_Madison_AL_35758_M72271-44607,,,2023-07-06,35758,Madison,Madison,Alabama,2012.0,4794.0
105-Pebble-Ct_Madison_AL_35758_M84416-53045,,,2023-07-05,35758,Madison,Madison,Alabama,2104.0,11402.0
112-Kauffman-Cir_Madison_AL_35758_M81027-45192,,,2023-07-05,35758,Madison,Madison,Alabama,3326.0,35010.0
212-Pennsylvania-Ave_Madison_AL_35758_M89747-79618,,,2023-07-05,35758,Madison,Madison,Alabama,1653.0,18885.0
581-Hughes-Rd_Madison_AL_35758_M85003-04776,,,2023-07-03,35758,Madison,Madison,Alabama,4239.0,43560.0
210-W-Lake-Cir_Madison_AL_35758_M72522-61852,,,2023-07-03,35758,Madison,Madison,Alabama,3213.0,3907.0
96-S-Interlaken-Dr_Madison_AL_35758_M70721-92818,305000.0,2023-04-05T14:13:31Z,2023-06-26,35758,Madison,Madison,Alabama,1600.0,10454.0
100-Ranger-Dr_Madison_AL_35758_M98444-76250,79900.0,2023-02-28T21:26:59Z,2023-06-01,35758,Madison,Madison,Alabama,1200.0,
109-Bruce-Dr_Madison_AL_35758_M94872-14639,549850.0,2023-02-10T19:22:05Z,2023-05-22,35758,Madison,Madison,Alabama,3643.0,11631.0
277-Postwood-Ct_Madison_AL_35758_M83504-63284,,,2023-05-05,35758,Madison,Madison,Alabama,1344.0,7200.0
