permalink,list_price,list_date,description.sold_date,location.address.postal_code,location.county.name,location.address.city,location.address.state,description.sqft,description.lot_sqft
29715-Westfield-Dr_Harvest_AL_35749_M72327-87293,275000.0,2023-05-05T19:02:45Z,2023-07-13,35749,Limestone,Harvest,Alabama,2214.0,8276.0
102-Brookville-Dr_Harvest_AL_35749_M78477-82986,249900.0,2023-05-15T19:20:11Z,2023-06-20,35749,Madison,Harvest,Alabama,1962.0,10454.0
16860-Wellhouse-Dr_Harvest_AL_35749_M72166-13874,249900.0,2023-01-05T22:07:24Z,2023-05-25,35749,Limestone,Harvest,Alabama,2336.0,5663.0
101-Alderwood-Dr_Madison_AL_35758_M75109-62850,335000.0,2023-07-19T20:15:14Z,2023-08-21,35758,Madison,Madison,Alabama,1938.0,14375.0
102-Bruce-Dr_Madison_AL_35758_M97163-09717,599850.0,2023-02-01T17:10:32Z,2023-07-28,35758,Madison,Madison,Alabama,4024.0,11282.0
96-S-Interlaken-Dr_Madison_AL_35758_M70721-92818,305000.0,2023-04-05T14:13:31Z,2023-06-26,35758,Madison,Madison,Alabama,1600.0,10454.0
109-Bruce-Dr_Madison_AL_35758_M94872-14639,549850.0,2023-02-10T19:22:05Z,2023-05-22,35758,Madison,Madison,Alabama,3643.0,11631.0
104-Bruce-Dr_Madison_AL_35758_M99579-98896,549850.0,2022-12-31T16:36:36Z,2023-05-05,35758,Madison,Madison,Alabama,3643.0,11282.0
1742-W-12th-Ave-Apt-A_Anchorage_AK_99501_M76311-39615,665000.0,2023-07-20T23:40:30Z,2023-08-28,99501,Anchorage,Anchorage,Alaska,2955.0,7500.0
1124-Orca-St_Anchorage_AK_99501_M80876-47411,415000.0,2023-08-25T16:44:13Z,2023-08-25,99501,Anchorage,Anchorage,Alaska,3536.0,7000.0
100-E-Cook-Ave_Anchorage_AK_99501_M79291-18092,550000.0,2023-06-28T23:58:36Z,2023-08-23,99501,Anchorage,Anchorage,Alaska,1608.0,6996.0
528-Coastal-Pl-Apt-3_Anchorage_AK_99501_M96259-06012,1390000.0,2023-07-07T18:09:28Z,2023-08-23,99501,Anchorage,Anchorage,Alaska,2200.0,11326.0
1230-Nelchina-St_Anchorage_AK_99501_M80745-29800,510000.0,2023-08-22T17:22:42Z,2023-08-22,99501,Anchorage,Anchorage,Alaska,1538.0,8400.0
525-E-16th-Ave_Anchorage_AK_99501_M80411-39515,335000.0,2023-07-07T18:09:28Z,2023-08-22,99501,Anchorage,Anchorage,Alaska,1008.0,7000.0
1218-F-St_Anchorage_AK_99501_M72482-98364,450000.0,2023-08-21T21:01:22Z,2023-08-11,99501,Anchorage,Anchorage,Alaska,2974.0,7000.0
717-Barrow-St_Anchorage_AK_99501_M79597-50697,275000.0,2023-06-15T20:31:50Z,2023-08-03,99501,Anchorage,Anchorage,Alaska,829.0,2000.0
